number,ttr_h,ttr_outlier,ttr_h_log,ttr_h_winsor,opened_at,contact_type,category,subcategory,impact_level,urgency_level,priority_level
INC0000171,435.18333333333334,0,6.078062644264821,435.18333333333334,2016-02-29 10:33:00+00:00,Phone,Category 24,Subcategory 164,1,2,2
INC0000172,7.8,0,2.174751721484161,7.8,2016-02-29 10:36:00+00:00,Phone,Category 23,Subcategory 75,2,2,3
INC0000173,1012.2166666666667,0,6.920885367525061,1012.2166666666667,2016-02-29 10:36:00+00:00,Phone,Category 55,Subcategory 120,3,2,3
INC0000174,50.36666666666667,0,3.9389894536579604,50.36666666666667,2016-02-29 10:39:00+00:00,Phone,Category 32,Subcategory 9,2,2,3
INC0000176,52.45,0,3.9787466374710543,52.45,2016-02-29 10:40:00+00:00,Phone,Category 53,Subcategory 127,2,2,3
INC0000178,1.1666666666666667,0,0.7731898882334818,1.1666666666666667,2016-02-29 10:45:00+00:00,Phone,Category 20,Subcategory 103,2,2,3
INC0000179,46.56666666666667,0,3.862132235814681,46.56666666666667,2016-02-29 10:46:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000192,0.06666666666666667,0,0.06453852113757116,0.06666666666666667,2016-02-29 10:58:00+00:00,Phone,Category 45,Subcategory 200,2,2,3
INC0000193,29.066666666666666,0,3.403417138400468,29.066666666666666,2016-02-29 10:59:00+00:00,Phone,Category 37,Subcategory 135,2,2,3
INC0000194,0.2,0,0.18232155679395465,0.2,2016-02-29 10:59:00+00:00,Phone,Category 42,Subcategory 224,2,2,3
INC0000195,52.25,0,3.9749978045895347,52.25,2016-02-29 11:00:00+00:00,Phone,Category 53,Subcategory 127,2,2,3
INC0000197,744.1833333333333,0,6.6136302731167955,744.1833333333333,2016-02-29 11:02:00+00:00,Phone,Category 45,Subcategory 200,2,2,3
INC0000199,,0,,,2016-02-29 11:06:00+00:00,Phone,Category 42,Subcategory 106,3,3,3
INC0000204,5.5,0,1.8718021769015913,5.5,2016-02-29 11:13:00+00:00,Phone,Category 53,Subcategory 168,3,3,3
INC0000207,8.933333333333334,0,2.295896104843249,8.933333333333334,2016-02-29 11:19:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000211,67.38333333333334,0,4.225129130220085,67.38333333333334,2016-02-29 11:23:00+00:00,Phone,Category 23,Subcategory 3,2,2,3
INC0000213,1.4666666666666666,0,0.9028677115420143,1.4666666666666666,2016-02-29 11:25:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000217,189.65,0,5.250439286303573,189.65,2016-02-29 11:48:00+00:00,Phone,Category 37,Subcategory 123,2,2,3
INC0000218,1.7166666666666666,0,0.9994056385846616,1.7166666666666666,2016-02-29 11:53:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000220,221.46666666666667,0,5.404777277649164,221.46666666666667,2016-02-29 11:56:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000221,50.13333333333333,0,3.934436600265046,50.13333333333333,2016-02-29 11:58:00+00:00,Phone,Category 61,Subcategory 16,2,2,3
INC0000223,68.93333333333334,0,4.2475424072940875,68.93333333333334,2016-02-29 12:01:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000228,3.95,0,1.599387576580599,3.95,2016-02-29 12:11:00+00:00,Phone,Category 26,Subcategory 175,2,2,3
INC0000230,170.96666666666667,0,5.147300659582495,170.96666666666667,2016-02-29 12:14:00+00:00,Phone,Category 55,Subcategory 270,2,2,3
INC0000232,297.05,0,5.697261257665936,297.05,2016-02-29 12:20:00+00:00,Phone,Category 45,Subcategory 200,3,3,3
INC0000236,0.8333333333333334,0,0.6061358035703156,0.8333333333333334,2016-02-29 12:26:00+00:00,Phone,Category 45,Subcategory 223,2,2,3
INC0000237,25.616666666666667,0,3.2815375859929117,25.616666666666667,2016-02-29 12:27:00+00:00,Phone,Category 45,Subcategory 200,2,2,3
INC0000246,95.25,0,4.566948973167894,95.25,2016-02-29 12:41:00+00:00,Phone,Category 20,Subcategory 103,2,2,3
INC0000250,296.78333333333336,0,5.696366152711066,296.78333333333336,2016-02-29 12:43:00+00:00,Phone,Category 32,Subcategory 9,2,2,3
INC0000253,44.416666666666664,0,3.8158791448752436,44.416666666666664,2016-02-29 12:43:00+00:00,Phone,Category 26,Subcategory 175,2,2,3
INC0000257,9.666666666666666,0,2.367123614131617,9.666666666666666,2016-02-29 12:48:00+00:00,Phone,Category 37,Subcategory 144,2,2,3
INC0000259,45.81666666666667,0,3.846239264882143,45.81666666666667,2016-02-29 12:50:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000260,74.28333333333333,0,4.321258773432503,74.28333333333333,2016-02-29 12:52:00+00:00,Phone,Category 17,Subcategory 90,2,2,3
INC0000261,4.883333333333334,0,1.7721234947111961,4.883333333333334,2016-02-29 12:54:00+00:00,Phone,Category 42,Subcategory 31,1,1,1
INC0000262,44.36666666666667,0,3.8147776209893105,44.36666666666667,2016-02-29 12:59:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000265,50.25,0,3.9367156180185177,50.25,2016-02-29 13:14:00+00:00,Phone,Category 20,Subcategory 103,2,2,3
INC0000266,99.1,0,4.6061696863211745,99.1,2016-02-29 13:18:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000268,211.36666666666667,0,5.358314340454333,211.36666666666667,2016-02-29 13:24:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000269,,0,,,2016-02-29 13:30:00+00:00,Phone,Category 26,Subcategory 175,2,2,3
INC0000272,193.98333333333332,0,5.2729140848255005,193.98333333333332,2016-02-29 13:36:00+00:00,Phone,Category 42,Subcategory 31,3,2,3
INC0000273,97.03333333333333,0,4.5853075568918396,97.03333333333333,2016-02-29 13:36:00+00:00,Phone,Category 53,Subcategory 168,2,2,3
INC0000278,0.9666666666666667,0,0.6763400622435641,0.9666666666666667,2016-02-29 13:48:00+00:00,Phone,Category 45,Subcategory 29,2,2,3
INC0000279,35.21666666666667,0,3.589519418034329,35.21666666666667,2016-02-29 13:50:00+00:00,Phone,Category 20,Subcategory 103,2,2,3
INC0000280,174.11666666666667,0,5.165452418466675,174.11666666666667,2016-02-29 13:50:00+00:00,Phone,Category 20,Subcategory 125,2,2,3
INC0000282,70.7,0,4.272490747605575,70.7,2016-02-29 13:52:00+00:00,Phone,Category 53,Subcategory 271,2,2,3
INC0000283,19.533333333333335,0,3.0220495818713644,19.533333333333335,2016-02-29 13:54:00+00:00,Phone,Category 42,Subcategory 31,2,2,3
INC0000284,46.03333333333333,0,3.8508565701906585,46.03333333333333,2016-02-29 13:55:00+00:00,Phone,Category 53,Subcategory 13,2,2,3
INC0000285,34.983333333333334,0,3.5830558682927065,34.983333333333334,2016-02-29 13:56:00+00:00,Phone,Category 45,Subcategory 223,2,2,3
INC0000286,74.18333333333334,0,4.319929575186295,74.18333333333334,2016-02-29 13:56:00+00:00,Phone,Category 53,Subcategory 168,2,2,3
INC0000290,,0,,,2016-02-29 13:59:00+00:00,Phone,Category 45,Subcategory 223,2,2,3
INC0000292,43.88333333333333,0,3.8040665305894983,43.88333333333333,2016-02-29 14:04:00+00:00,Phone,Category 20,Subcategory 125,3,3,3
INC0000294,330.31666666666666,0,5.803074614912421,330.31666666666666,2016-02-29 14:06:00+00:00,Phone,Category 20,Subcategory 125,2,2,3
INC0000295,91.4,0,4.526126978647638,91.4,2016-02-29 14:09:00+00:00,Phone,Category 13,Subcategory 302,2,2,3
INC0000297,91.31666666666666,0,4.525224695811003,91.31666666666666,2016-02-29 14:15:00+00:00,Phone,Category 13,Subcategory 302,2,2,3
INC0000298,6473.85,1,8.775680720276236,2843.4006666666587,2016-02-29 14:16:00+00:00,Phone,Category 53,Subcategory 113,3,3,3
INC0000301,21.216666666666665,0,3.100842757956608,21.216666666666665,2016-02-29 14:22:00+00:00,Phone,Category 45,Subcategory 29,2,2,3
INC0000302,526.5666666666667,0,6.268275239671128,526.5666666666667,2016-02-29 14:23:00+00:00,Phone,Category 35,Subcategory 28,2,2,3
INC0000303,243.4,0,5.4988062272974405,243.4,2016-02-29 14:23:00+00:00,Phone,Category 53,Subcategory 109,3,3,3
INC0000304,72.73333333333333,0,4.30045498098007,72.73333333333333,2016-02-29 14:25:00+00:00,Phone,Category 53,Subcategory 168,2,2,3
INC0000305,96.21666666666667,0,4.576942164531537,96.21666666666667,2016-02-29 14:28:00+00:00,Phone,Category 53,Subcategory 168,2,2,3
INC0000306,50.333333333333336,0,3.9383403137455195,50.333333333333336,2016-02-29 14:28:00+00:00,Phone,Category 23,Subcategory 3,2,2,3
INC0000307,7056.416666666667,1,8.86183435228842,2843.4006666666587,2016-02-29 14:30:00+00:00,Phone,Category 45,Subcategory 220,3,3,3
INC0000310,23.233333333333334,0,3.187729095871364,23.233333333333334,2016-02-29 14:33:00+00:00,Phone,Category 45,Subcategory 220,3,3,3
INC0000315,162.58333333333334,0,5.097322544488461,162.58333333333334,2016-02-29 14:37:00+00:00,Phone,Category 23,Subcategory 3,2,2,3
INC0000317,1346.4333333333334,0,7.205956827224068,1346.4333333333334,2016-02-29 14:40:00+00:00,Phone,Category 45,Subcategory 220,3,3,3
INC0000318,669.45,0,6.5079491287256515,669.45,2016-02-29 14:43:00+00:00,Phone,Category 45,Subcategory 220,3,3,3
INC0000319,48.46666666666667,0,3.9012990420651703,48.46666666666667,2016-02-29 14:44:00+00:00,Phone,Category 37,Subcategory 135,2,2,3
INC0000323,,0,,,2016-02-29 14:45:00+00:00,Phone,Category 20,Subcategory 103,2,2,3
INC0000324,2586.7833333333333,0,7.858556932384002,2586.7833333333333,2016-02-29 14:47:00+00:00,Phone,Category 45,Subcategory 88,2,3,3
INC0000325,378.1166666666667,0,5.937843985329761,378.1166666666667,2016-02-29 14:49:00+00:00,Phone,Category 45,Subcategory 220,3,3,3
INC0000329,380.8,0,5.944896911291647,380.8,2016-02-29 14:50:00+00:00,Phone,Category 42,Subcategory 31,2,2,3
INC0000330,430.8666666666667,0,6.068116898629064,430.8666666666667,2016-02-29 14:52:00+00:00,Phone,Category 45,Subcategory 220,3,3,3
INC0000332,211.95,0,5.3610573963692225,211.95,2016-02-29 14:53:00+00:00,Phone,Category 26,Subcategory 175,2,2,3
INC0000333,1434.75,0,7.269442639744406,1434.75,2016-02-29 14:56:00+00:00,Phone,Category 45,Subcategory 223,3,3,3
INC0000336,242.4,0,5.494706180553427,242.4,2016-02-29 15:03:00+00:00,Phone,Category 45,Subcategory 220,3,3,3
INC0000337,2181.266666666667,0,7.688119370963619,2181.266666666667,2016-02-29 15:07:00+00:00,Phone,Category 45,Subcategory 220,2,2,3
INC0000338,863.1333333333333,0,6.7617270778854515,863.1333333333333,2016-02-29 15:10:00+00:00,Phone,Category 45,Subcategory 220,3,3,3
INC0000339,1.0833333333333333,0,0.7339691750802004,1.0833333333333333,2016-02-29 15:12:00+00:00,Phone,Category 26,Subcategory 164,2,2,3
INC0000341,3719.3333333333335,1,8.221568548987605,2843.4006666666587,2016-02-29 15:13:00+00:00,Phone,Category 45,Subcategory 220,1,1,1
INC0000343,7122.283333333334,1,8.871124040434674,2843.4006666666587,2016-02-29 15:14:00+00:00,Phone,Category 45,Subcategory 88,2,3,3
INC0000345,24.716666666666665,0,3.2471392901410603,24.716666666666665,2016-02-29 15:17:00+00:00,Phone,Category 24,Subcategory 164,2,2,3
INC0000346,1434.4666666666667,0,7.269245278578638,1434.4666666666667,2016-02-29 15:17:00+00:00,Phone,Category 45,Subcategory 223,2,2,3
INC0000347,65.88333333333334,0,4.202949808044816,65.88333333333334,2016-02-29 15:21:00+00:00,Phone,Category 61,Subcategory 164,2,2,3
INC0000348,1170.3666666666666,0,7.065926437272202,1170.3666666666666,2016-02-29 15:22:00+00:00,Phone,Category 45,Subcategory 88,2,3,3
INC0000351,504.78333333333336,0,6.226108382592399,504.78333333333336,2016-02-29 15:24:00+00:00,Phone,Category 45,Subcategory 220,3,3,3
INC0000352,,0,,,2016-02-29 15:27:00+00:00,Phone,Category 32,Subcategory 9,2,2,3
INC0000353,,0,,,2016-02-29 15:27:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000355,68.4,0,4.239886867512759,68.4,2016-02-29 15:30:00+00:00,Phone,Category 61,Subcategory 16,2,2,3
INC0000356,185.33333333333334,0,5.227537184486989,185.33333333333334,2016-02-29 15:32:00+00:00,Phone,Category 53,Subcategory 117,2,2,3
INC0000357,48.85,0,3.9090184964078474,48.85,2016-02-29 15:34:00+00:00,Phone,Category 23,Subcategory 3,2,2,3
INC0000358,0.11666666666666667,0,0.11034805716886538,0.11666666666666667,2016-02-29 15:36:00+00:00,Phone,?,?,3,2,3
INC0000359,3210.0833333333335,1,8.074363646207857,2843.4006666666587,2016-02-29 15:37:00+00:00,Phone,?,?,2,3,3
INC0000361,217.75,0,5.387929525237724,217.75,2016-02-29 15:38:00+00:00,Phone,Category 53,Subcategory 303,2,2,3
INC0000363,671.1833333333333,0,6.510531120775551,671.1833333333333,2016-02-29 15:45:00+00:00,Phone,Category 45,Subcategory 88,2,3,3
INC0000369,17.75,0,2.9311937524164198,17.75,2016-02-29 15:48:00+00:00,Phone,Category 43,Subcategory 107,2,2,3
INC0000370,16.633333333333333,0,2.869791050196144,16.633333333333333,2016-02-29 15:53:00+00:00,Phone,Category 37,Subcategory 135,1,1,1
INC0000371,698.0166666666667,0,6.549674585535632,698.0166666666667,2016-02-29 15:53:00+00:00,Phone,Category 45,Subcategory 88,2,3,3
INC0000372,88.06666666666666,0,4.489385152994381,88.06666666666666,2016-02-29 15:54:00+00:00,Phone,Category 20,Subcategory 103,2,2,3
INC0000373,241.93333333333334,0,5.4927870572776385,241.93333333333334,2016-02-29 15:55:00+00:00,Phone,Category 8,Subcategory 156,3,3,3
INC0000374,0.38333333333333336,0,0.32449604557449724,0.38333333333333336,2016-02-29 15:59:00+00:00,Phone,Category 32,Subcategory 9,2,2,3
INC0000375,1919.25,0,7.560210664878792,1919.25,2016-02-29 16:09:00+00:00,Phone,Category 45,Subcategory 88,2,3,3
INC0000376,166.98333333333332,0,5.123864768132777,166.98333333333332,2016-02-29 16:15:00+00:00,Phone,Category 61,Subcategory 16,2,2,3
INC0000377,0.3333333333333333,0,0.2876820724517809,0.3333333333333333,2016-02-29 16:18:00+00:00,Phone,Category 26,Subcategory 175,3,2,3
INC0000378,762.05,0,6.637323559936884,762.05,2016-02-29 16:23:00+00:00,Phone,Category 45,Subcategory 47,2,2,3
INC0000379,4.0,0,1.6094379124341003,4.0,2016-02-29 16:25:00+00:00,Phone,Category 8,Subcategory 156,2,2,3
INC0000384,64.73333333333333,0,4.185606153500426,64.73333333333333,2016-02-29 16:30:00+00:00,Phone,Category 43,Subcategory 107,2,2,3
INC0000385,665.15,0,6.501514870406221,665.15,2016-02-29 16:31:00+00:00,Phone,Category 53,Subcategory 127,2,2,3
INC0000387,210.31666666666666,0,5.353357798305847,210.31666666666666,2016-02-29 16:38:00+00:00,Phone,Category 24,Subcategory 164,2,2,3
INC0000388,528.0666666666667,0,6.271114447862499,528.0666666666667,2016-02-29 16:43:00+00:00,Phone,Category 45,Subcategory 94,1,1,1
INC0000392,42.31666666666667,0,3.7685374724193896,42.31666666666667,2016-02-29 16:51:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000393,16.75,0,2.8763855159214247,16.75,2016-02-29 16:54:00+00:00,Phone,Category 45,Subcategory 229,2,2,3
INC0000395,47.916666666666664,0,3.890118170040096,47.916666666666664,2016-02-29 17:06:00+00:00,Phone,Category 24,Subcategory 164,2,2,3
INC0000396,285.26666666666665,0,5.656923777336516,285.26666666666665,2016-02-29 17:11:00+00:00,Phone,Category 40,Subcategory 44,2,2,3
INC0000398,16.416666666666668,0,2.8574276021768106,16.416666666666668,2016-02-29 17:14:00+00:00,Phone,Category 45,Subcategory 200,2,2,3
INC0000399,,0,,,2016-02-29 17:27:00+00:00,Phone,Category 9,Subcategory 164,2,2,3
INC0000400,337.51666666666665,0,5.824573327969385,337.51666666666665,2016-02-29 17:32:00+00:00,Phone,Category 45,Subcategory 150,2,2,3
INC0000401,23.3,0,3.190476350346503,23.3,2016-02-29 17:38:00+00:00,Phone,Category 24,Subcategory 164,2,2,3
INC0000403,166.75,0,5.122474775851791,166.75,2016-02-29 17:48:00+00:00,Phone,Category 40,Subcategory 215,2,2,3
INC0000405,63.516666666666666,0,4.166923588355547,63.516666666666666,2016-02-29 17:53:00+00:00,Phone,Category 34,Subcategory 162,2,2,3
INC0000418,405.7,0,6.008075812913178,405.7,2016-02-29 18:35:00+00:00,Phone,Category 55,Subcategory 185,2,2,3
INC0000419,548.0166666666667,0,6.308128799275808,548.0166666666667,2016-02-29 18:36:00+00:00,Phone,Category 53,Subcategory 303,2,2,3
INC0000425,50.53333333333333,0,3.942228847485212,50.53333333333333,2016-02-29 19:41:00+00:00,Phone,Category 55,Subcategory 170,2,2,3
